item_id1,item_id2,result
57023805-99,57045980-56,0
53050630-09,43025787-OR,1
53193794-OR,57007730-91,0
53050632-08,53010920-05,1
57025986-99,67090588-99,0
53040609-CU,53091158-OR,1
57040278-99,57010037-05,0
53080809-OR,53073042-28,1
67040070-OR,57040034-06,0
43063738-46,53040578-01,1
51015740-99,57082890-05,0
53030963-99,53081158-OR,1
53071096-OR,47064024-09,0
53033776-OR,53193794-OR,1
57092510-02,57050556-05,0
53040593-08,51030703-05,1
57002512-99,57046027-99,0
43015793-OR,53010924-14,1
53031097-OR,57085137-TM,0
53060511-08,53040578-01,1
57007747-02,57005133-99,0
53050803-OR,53070830-OR,1
53080828-OR,57054422-08,0
53080828-OR,53010925-01,1
57030409-99,53093739-99,0
53030691-OR,53080828-OR,1
43060860-03,57020039-TC,0
53043037-OR,53090580-57,1
53063783-32,53015772-30,0
53073042-28,53010925-15,1
57072889-PL,53040593-08,0
53060518-02,53030691-OR,1
53050576-01,51000640-37,0
53043037-OR,53060830-OR,1
37010684-99,57026009-30,0
53060511-08,43047758-05,1
57010282-01,53080809-OR,0
53040519-08,53040712-OR,1
47046706-CU,57050294-PL,0
53010926-52,53090913-52,1
57043797-99,57096020-99,0
53030594-08,53040578-01,1
51050904-43,57024405-TN,0
53040712-OR,53010927-06,1
57084018-99,57086003-OR,0
53040578-01,53030715-OR,1
57057700-99,47075951-OR,0
53090591-12,53073038-01,1
57041178-OR,57061172-CU,0
53090511-CU,53030691-OR,1
43025015-02,57005911-94,0
51021048-02,53090517-08,1
53050632-08,57095804-99,0
53103804-OR,53010929-99,1
57047881-OR,57085912-99,0
53000755-30,51085026-05,1
57077749-DI,53033776-OR,0
53030636-07,53103798-OR,1
57000345-01,53003752-37,0
53040541-05,53010932-85,1
57085801-99,43050805-OR,0
53060518-02,53030691-OR,1
57050294-OR,53103804-OR,0
53070631-08,53021059-08,1
53021099-OR,57010603-99,0
53031097-OR,53010933-15,1
57025976-99,57028264-91,0
53090511-CU,53080809-OR,1
53005753-69,47005921-99,0
53090716-15,53010934-02,1
57092523-PL,53091158-OR,0
53040519-08,53040712-OR,1
43027020-01,57040164-02,0
53050595-OR,53090667-28,1
53050576-01,53065769-99,0
53030547-05,53010935-02,1
57069203-99,57099203-53,0
53070830-OR,53040519-08,1
53060518-02,57091172-52,0
53040712-OR,53070584-02,1
57010603-99,43075794-OR,0
53010937-05,53080634-07,1
53021099-OR,47005922-CU,0
53033776-OR,57075781-99,1
57055147-99,57044378-99,0
53023035-OR,51065775-09,1
57023725-09,57063799-99,0
51065748-30,53010944-99,1
53040578-01,53043712-91,0
53091158-OR,53090511-CU,1
57040070-OR,57034423-99,0
53080809-OR,53010948-02,1
57050321-99,57015965-99,0
53080809-OR,53030963-99,1
53083765-05,51075026-49,0
53023772-99,53000995-99,1
57041182-01,47037826-99,0
53090511-CU,53030691-OR,1
57030033-99,57076026-05,0
57075781-99,41083009-08,1
57041501-30,53080547-TC,0
53075025-05,53053793-OR,1
53030691-OR,53043043-99,0
53030812-OR,53010967-82,1
47097833-OR,53083713-05,0
53040521-07,53030715-OR,1
53021098-OR,67080514-56,0
51090674-28,53010991-06,1
57091175-OR,57020043-52,0
43073737-OR,53020607-07,1
57016019-92,53083725-01,0
53030636-07,43003754-OR,1
57087702-99,57050044-OR,0
53010991-37,53090614-02,1
53053793-OR,57092512-99,0
53090511-CU,53070592-08,1
57094421-78,57014425-PL,0
53030691-OR,53060830-OR,1
57004045-PL,51073744-99,0
53050681-OR,53010992-20,1
67050292-PL,53050961-11,0
53040578-01,53050548-99,1
51023026-17,57023725-09,0
53050753-32,53010992-37,1
57075782-CG,57065794-99,0
53060511-08,53040521-07,1
53003778-OR,53043747-99,0
53080809-OR,53010995-99,1
47015920-32,57094434-02,0
53040578-01,53080809-OR,1
53023042-85,53080920-99,0
53080716-OR,53000588-02,1
53081158-OR,53033776-OR,0
53050681-OR,53040541-05,1
67040070-OR,51013791-02,0
53040578-01,53000588-TC,1
53003722-06,53075019-02,0
53091158-OR,53080809-OR,1
51045738-99,57050271-OR,0
53080716-OR,53011056-87,1
57082893-99,57050294-PL,0
53050548-99,53090511-CU,1
53053766-37,57050094-80,0
53030715-OR,53021059-08,1
57001097-99,57010036-PL,0
51080752-08,53050727-08,1
57005550-05,51083782-02,0
53040578-01,53030691-OR,1
57092893-PL,57067753-TO,0
53060603-28,53011088-02,1
53020608-07,57050471-15,0
53080809-OR,53193794-OR,1
53023772-99,57085800-01,0
51020771-99,53011108-99,1
57030258-99,57006722-99,0
53080809-OR,53093047-99,1
53010582-TO,57002885-08,0
53090517-08,53011118-43,1
53073714-20,57036005-PL,0
53080809-OR,53020942-99,1
51083766-92,57040359-01,0
53095026-99,53011118-99,1
57055810-05,53093741-CU,0
53071140-23,53051142-20,1
53030963-99,53090511-CU,0
53045033-43,43015773-20,1
43005802-OR,53013788-99,0
53020607-07,53091158-OR,1
53003778-OR,57052525-PL,0
53080809-OR,43077738-99,1
53065769-99,53030613-05,0
53000586-01,53013035-01,1
53075030-05,57046004-OR,0
53050548-99,53030715-OR,1
53095029-99,57067761-DI,0
43077738-99,53050681-OR,1
57020012-01,53005774-01,0
53040578-01,53091158-OR,1
57080490-08,57010603-99,0
53080809-OR,53013046-99,1
57002533-PL,57094406-43,0
53080809-OR,53030963-99,1
53010823-20,57007749-17,0
53050624-01,53013047-01,1
53031097-OR,53065769-99,0
53080809-OR,53073042-28,1
53023748-32,57085985-99,0
53070584-02,53013048-87,1
57097751-99,57057758-05,0
53020607-07,53043037-OR,1
57006014-PL,47085855-99,0
53050630-09,53050681-OR,1
57030776-99,57074029-01,0
53020885-05,53013049-70,1
57034436-92,53090592-30,0
53030691-OR,53073754-OR,1
57045809-01,53073023-92,0
53103804-OR,53093782-CU,1
51080660-02,53090591-12,0
53073042-28,53013061-30,1
57094427-02,57071168-OR,0
53060518-02,53081158-OR,1
53083024-07,43087766-OR,0
53010582-01,53040605-CU,1
57023813-99,57020766-99,0
57055921-02,53033714-06,1
53073754-OR,57095134-99,0
53093782-CU,53033766-OR,1
43077762-01,57020254-05,0
53080828-OR,53065769-99,1
57032893-TN,53083780-99,0
53031097-OR,53023772-99,1
57044409-TO,57000276-OR,0
53013715-95,53033714-95,1
57095923-CU,53050682-70,0
53020588-99,53103805-OR,1
53063715-31,53005786-99,0
53073772-80,53020885-05,1
57056011-99,57052894-99,0
53053715-06,53013788-99,1
53080871-99,57085971-99,0
53091158-OR,53090511-CU,1
57075788-43,51093766-43,0
53080809-OR,53053763-30,1
57001508-30,53080828-OR,0
53040593-08,53013718-99,1
57014427-78,53010582-BL,0
53030636-07,53030691-OR,1
57004790-99,53073754-OR,0
53080828-OR,53081158-OR,1
53081146-30,53083760-32,0
53050624-01,53013741-05,1
53005774-01,53095770-01,0
53080809-OR,51080862-08,1
51080862-08,47037826-99,0
53013741-49,57955903-05,1
57011171-05,53010582-02,0
53060682-99,53013741-99,1
57065149-PL,53000619-02,0
53013757-OR,53000586-TC,1
51020622-08,53083780-99,0
53080809-OR,53080828-OR,1
53093739-99,57038280-92,0
57075781-99,53103700-TN,1
53040578-01,41037796-26,0
53013749-99,53040548-05,1
53060637-92,53033766-OR,0
57075781-99,53030812-OR,1
53030691-OR,57066000-09,0
53013752-79,53040586-TA,1
47197151-95,53093715-06,0
53091158-OR,53031097-OR,1
57040291-TM,53030691-OR,0
53000625-99,53033778-50,1
53065776-99,57086020-02,0
53005032-TN,53013756-08,1
57021180-01,53060658-74,0
53050829-OR,53043753-09,1
53030691-OR,53061011-05,0
53060569-99,53013756-79,1
57028639-82,57034381-33,0
57065943-99,57047881-OR,1
57002537-OR,57035939-DO,0
53033761-99,53005774-99,1
53053029-01,57015932-CU,0
53013756-99,57035784-TN,1
53030636-07,57035807-56,0
53080828-OR,53013757-OR,1
57050230-01,57066021-99,0
53045763-99,53073773-99,1
53091158-OR,43047758-05,0
53003778-OR,53023028-99,1
57076019-99,47005943-01,0
53080670-99,53013761-99,1
57040365-99,57065917-99,0
53000759-99,53070521-99,1
57066016-92,53030691-OR,0
53013762-99,53050531-70,1
57065904-99,53090733-99,0
53080809-OR,57075781-99,1
47039047-02,53045707-30,0
57064001-TM,53075019-02,1
57050110-01,57083794-05,0
51035023-05,53013764-99,1
57010282-01,57050032-99,0
53073709-72,53060522-99,1
57004437-99,53040578-01,0
53073042-28,51090740-72,1
53021099-OR,53013766-CU,0
53073709-99,53000586-TC,1
53053029-01,57034777-37,0
53000755-30,53013765-99,1
43087016-99,53030691-OR,0
53003778-OR,53023028-99,1
57020047-99,57000438-OR,0
53080670-99,53013767-99,1
53030681-43,47003773-01,0
53013769-99,53083770-99,1
57057747-PL,53070773-56,0
53060830-OR,53013773-99,1
57023805-05,57002513-99,0
53045763-99,57085902-18,1
43075794-OR,51035743-08,0
53033776-OR,57055921-02,1
53000578-TO,51090613-01,0
53013774-32,53095742-92,1
57095999-05,57005823-56,0
53080809-OR,53080920-99,1
57075968-35,57079103-28,0
53013788-99,57085902-18,1
57006707-99,57042511-99,0
53073754-OR,53063786-99,1
57091166-TM,57005933-OR,0
53013792-99,53000674-99,1
57052508-99,53091158-OR,0
53013793-99,67050614-99,1
57043797-99,57055794-99,0
67040567-99,67060551-99,1
53093047-99,57004792-26,0
53013794-CU,53031097-OR,1
67040073-90,57043800-05,0
53020726-99,53000674-99,1
57001007-28,47078649-TM,0
53091158-OR,53093047-99,1
53060865-02,57040381-52,0
53031097-OR,53080805-92,1
43017044-05,53063042-85,0
53003751-99,53070976-OR,1
57054429-02,53035010-32,0
53080809-OR,53075779-99,1
51067657-99,57042511-99,0
53003725-05,53015011-99,1
53033751-99,57018631-99,0
53023736-TN,53050635-30,1
53191158-46,53043786-PL,0
53030691-OR,53113782-OR,1
43005802-OR,53043037-OR,0
53085759-01,53000623-08,1
53030691-OR,57012512-08,0
53093782-CU,53035018-08,1
57040031-12,47085855-99,0
53071096-OR,53015016-05,1
57014036-PL,57024405-TN,0
53080828-OR,53031097-OR,1
57002540-OR,53083024-07,0
53095770-52,53033778-50,1
57040460-OR,53077019-05,0
53015021-01,53083784-02,1
67000502-99,57083254-PL,0
53103798-OR,53083024-07,1
51030897-43,53063729-99,0
53015024-05,53015025-02,1
53063712-07,57065916-05,0
53103798-OR,53083024-07,1
57015925-OR,57087706-99,0
53015024-05,53015025-02,1
57034404-92,53005774-01,0
53080809-OR,53020588-99,1
53090850-30,53091158-OR,0
53073754-OR,57055921-02,1
51003749-99,57020012-01,0
53005774-01,53015029-TM,1
53043037-OR,57050294-OR,0
53065769-99,57005952-PL,1
57050272-17,57050414-OR,0
57064001-37,53090529-99,1
57037880-OR,53020606-99,0
53053793-OR,53000586-07,1
57022003-43,57069078-99,0
53110680-99,53083024-07,1
53031097-OR,53093771-08,0
53030691-OR,53023750-01,1
53073754-OR,57004432-99,0
53073754-OR,57055921-02,1
53020608-07,53020884-01,0
53000586-TC,53015038-05,1
53013792-99,53005032-TU,0
53080809-OR,53080828-OR,1
53005774-99,57046024-99,0
57064001-37,53090529-99,1
67030559-99,53060511-08,0
57006705-99,53015038-99,1
57030776-99,57050294-PL,0
57075781-99,53003778-OR,1
57045800-94,57084402-08,0
57075783-30,57035939-DO,1
57007701-50,57006705-99,0
53015710-17,53045774-56,1
57053818-40,57082887-99,0
53080809-OR,57065784-02,1
57041173-PL,57063814-99,0
53023716-07,51020771-99,1
53080809-OR,53090968-08,0
57064001-02,57016704-15,1
57010456-40,57040306-01,0
53015711-35,57077887-99,1
57001097-99,43067768-99,0
53080828-OR,53031097-OR,1
57064784-CO,57027691-TO,0
53095770-52,53053715-06,1
53005748-32,53095759-49,0
53073772-80,53015772-30,1
57099087-08,57010037-05,0
53030691-OR,53073755-08,1
53021059-08,57043797-99,0
57005506-80,57095923-CU,1
57085801-99,53030691-OR,0
57064001-02,53015714-33,1
67050573-99,57040031-12,0
53033776-OR,53083780-99,1
57010291-TC,53043037-OR,0
53045718-17,57005553-43,1
57000400-PL,57050294-OR,0
53015714-49,53043794-99,1
57040073-05,57066031-92,0
53015772-30,57075782-CG,1
53020686-TO,53093782-CU,0
53015714-96,53055714-94,1
53093787-OR,53090733-99,0
53030691-OR,53075779-99,1
53005028-79,53061096-OR,0
53013773-99,51025024-TM,1
57096026-99,43057797-07,0
53015029-TM,53015714-99,1
51083783-70,47027836-OR,0
53030691-OR,53065769-99,1
57015902-31,53073755-79,0
53013751-OR,53015024-05,1
57055144-99,53050548-99,0
53063765-99,57065784-02,1
57006014-PL,53091115-99,0
53031097-OR,53033778-50,1
53045776-32,57036314-CG,0
57065939-99,53135025-99,1
57055147-99,53035018-08,0
57005930-OR,53015738-02,1
53095770-52,57084008-43,0
57075781-99,53015738-50,1
53050753-32,53033761-99,0
57005940-OR,53080930-99,1
57004791-99,57050336-OR,0
53095770-52,53033778-50,1
57050336-OR,57020012-01,0
57035939-DO,53015742-74,1
53095770-01,53085708-03,0
53030691-OR,53075776-CG,1
57040317-02,57050336-OR,0
57064001-02,53003752-99,1
53021099-OR,47067665-99,0
53015743-05,57025908-17,1
51055745-TO,53033751-99,0
53080809-OR,53050624-01,1
57047659-99,51033730-56,0
51015735-01,53053793-OR,1
57024405-TN,43063738-OR,0
53083770-99,53015744-05,1
57010037-99,57050086-99,0
53103798-OR,53015744-09,1
57095931-70,57025799-99,0
53061101-62,53015772-30,1
57016021-PL,57004429-99,0
53030691-OR,53065769-99,1
57057758-05,57050306-02,0
53015029-TM,53015744-14,1
57086728-CU,57046312-06,0
53033776-OR,53090733-99,1
53080809-OR,57045790-05,0
53005032-TN,53070521-99,1
53040970-99,53090662-32,0
53033776-OR,53020884-01,1
57050294-PL,51073744-99,0
53045770-02,57065939-02,1
53030716-26,57030411-OR,0
53045718-99,53023753-99,1
57001503-99,53085015-99,0
53015745-80,53073757-99,1
51073785-09,43035012-05,0
53065769-99,57005933-OR,1
53050681-OR,57021175-85,0
53070521-99,53015746-05,1
57094431-DI,57015922-OR,0
53005032-05,53090733-99,1
53025037-37,57004438-OR,0
53033778-50,53055731-09,1
53060518-02,53020942-99,0
53033776-OR,53073754-OR,1
57085902-18,57085938-10,0
53083780-99,53063786-99,1
57023815-08,53080809-OR,0
53080809-OR,53050624-01,1
47066314-OR,57000033-01,0
53095770-01,53015750-08,1
57025796-06,47055868-99,0
53080809-OR,53073754-OR,1
43027025-08,57050294-OR,0
53091077-30,51065775-09,1
51080613-11,57004052-OR,0
53043777-CU,53015753-05,1
57050078-99,51050640-74,0
53080809-OR,57095923-CU,1
57050294-OR,57040278-99,0
51035734-30,57075782-CG,1
57033823-02,53023028-99,0
53080809-OR,53021059-08,1
53013788-99,57000164-81,0
53033778-50,57007608-36,1
53090511-CU,57066004-99,0
53080809-OR,53050624-01,1
47074432-99,57075911-99,0
51065030-05,53095770-01,1
53005761-92,57055797-99,0
53080809-OR,53050624-01,1
57045801-37,57050294-OR,0
53090733-99,53015757-70,1
57007895-99,47916303-99,0
53080809-OR,57075781-99,1
41083009-08,57032507-32,0
53005032-05,53095770-01,1
47005919-CU,47079202-65,0
53003753-CU,53000591-01,1
53020807-PL,47005949-99,0
53015758-05,57005907-99,1
53051011-PL,53031097-OR,0
57034381-33,57005506-80,1
53065769-99,53023736-TN,0
57095923-CU,53030812-OR,1
53040520-99,53080716-OR,0
53005738-30,53015758-09,1
57047881-OR,51070586-08,0
53080809-OR,57025939-99,1
57023805-99,57095142-99,0
57065921-30,53020686-TM,1
57001097-99,53080721-05,0
57044377-99,53015758-70,1
53060576-28,57000254-05,0
53080809-OR,53050624-01,1
47019025-PL,57074417-99,0
53031097-OR,53065762-05,1
57082889-PL,51090613-01,0
57064001-02,53015762-12,1
57006707-99,57002513-99,0
53030691-OR,53073754-OR,1
53080778-99,67040073-90,0
57055921-02,53083765-05,1
57050336-OR,51093029-56,0
53080809-OR,53065769-99,1
53095770-52,53020686-TC,0
53095770-01,53043775-99,1
53030594-08,57024405-TN,0
53033776-OR,57055921-02,1
47004761-30,57086003-OR,0
53045770-02,53015769-85,1
57002512-99,53013757-OR,0
53031097-OR,53033778-50,1
57050011-87,47064425-99,0
57085938-10,53015770-02,1
47013257-99,57004409-94,0
53080809-OR,53015770-99,1
57096011-99,53065762-05,0
53033776-OR,53090733-99,1
57040291-TM,53030874-05,0
53070521-99,53015744-05,1
57010275-OR,57005553-43,0
53031097-OR,53015772-30,1
53030691-OR,57077756-05,0
57005937-OR,53075749-92,1
57040768-88,53135025-99,0
57006707-99,53015772-99,1
57085938-10,57066026-99,0
53005745-96,53055753-91,1
53021099-OR,53050548-99,0
51073785-09,53045716-09,1
53050803-OR,53020588-99,0
53015774-08,53067018-02,1
57004781-99,47095848-99,0
53065769-99,53015776-07,1
51893712-52,57035794-05,0
53020885-05,53067676-30,1
57004056-OR,53080828-OR,0
53015777-99,57075783-30,1
57050107-20,57088634-36,0
57025909-32,57024380-OR,1
57022526-PL,57006014-PL,0
57065915-OR,53015779-49,1
57010260-05,57050026-11,0
57035130-43,53020585-99,1
57040386-52,57047881-OR,0
57064001-02,57037879-OR,1
57042524-OR,53055717-99,0
57008632-99,57065939-02,1
53091158-OR,57056013-92,0
53025778-99,53017022-06,1
47064425-99,47085839-TC,0
57088254-99,57057700-99,1
53060603-28,47064425-99,0
57005926-OR,57017687-11,1
57010046-99,57010041-99,0
53075713-94,53017024-TG,1
47037834-OR,57030449-08,0
67090588-99,67040070-OR,1
53010582-TM,57096026-99,0
57015922-OR,53015772-99,1
43005031-PL,57057741-30,0
57037879-OR,57087691-TM,1
57013801-99,57083795-32,0
67050548-48,53017024-TM,1
67030557-99,53193794-OR,0
53091158-OR,53080809-OR,1
53063712-07,57026727-92,0
53043747-99,53023753-99,1
51090925-05,57000276-PL,0
53017024-TN,53090543-50,1
57059098-99,57030776-99,0
53030691-OR,53073755-08,1
51003050-99,57050032-99,0
53023773-99,51075026-49,1
57081168-OR,53060511-08,0
53060547-99,53017024-TO,1
53080809-OR,57000206-99,0
53080809-OR,53043747-99,1
57067887-99,53030636-07,0
53013792-99,53017025-05,1
57025140-TO,57015138-30,0
53080809-OR,53090733-99,1
53080670-99,57041173-PL,0
51005750-99,53023772-99,1
53091158-OR,53050681-OR,0
53093787-OR,53017025-99,1
57000812-05,57024008-99,0
53020588-99,57005937-OR,1
57075792-38,57094431-DI,0
53000591-01,53017026-05,1
53023772-99,53045776-32,0
53033776-OR,53060830-OR,1
53080809-OR,43057767-70,0
51065030-05,53015772-30,1
47032882-PL,57017714-99,0
57085938-10,53017026-07,1
47027877-99,67040073-90,0
57007587-99,53017680-37,1
53090599-56,53043047-01,0
57085939-05,57037689-38,1
57023725-09,53005785-31,0
57015916-99,57005913-OR,1
57022512-99,57050336-OR,0
53103803-OR,53053715-06,1
53040723-99,53050624-01,0
57085938-10,53017682-08,1
53051009-05,57010612-99,0
53083780-99,57035910-99,1
53031097-OR,57087890-43,0
53075779-99,57064001-TM,1
57023813-99,53030691-OR,0
53080809-OR,53080828-OR,1
57098272-09,53030691-OR,0
53095770-01,53031097-OR,1
57000167-68,57040161-TC,0
53087017-30,57064001-02,1
57050294-PL,57063262-02,0
53019046-99,53063785-99,1
57037879-OR,57055147-99,0
53050753-32,53020576-17,1
57010037-05,57040272-99,0
53040620-28,53020727-20,1
57086313-70,57036310-99,0
53043037-OR,53050683-92,1
57034430-02,47085855-99,0
53000674-99,53020581-92,1
57095920-OR,57072889-99,0
53043037-OR,53060637-92,1
57025912-09,57046312-94,0
53020583-92,53030572-32,1
53003755-32,47027108-06,0
51000638-02,53080809-OR,1
53060682-99,53090580-57,0
53020585-02,53080510-92,1
57014426-CU,57075968-35,0
51093712-06,53020585-99,1
53030691-OR,53000591-02,0
53060518-02,53030594-08,1
57005506-80,57022510-99,0
53080809-OR,53080716-OR,1
53080544-05,53015772-30,0
53020587-56,53080586-56,1
53003778-OR,47047832-08,0
43075794-OR,43005802-OR,1
57047728-56,57077749-DI,0
43073737-OR,43063738-46,1
53091158-OR,47091248-31,0
43025786-OR,43013748-01,1
47067818-01,57031170-PL,0
43027739-01,53020587-81,1
53030666-26,57085938-10,0
53020588-99,53073754-OR,1
53061096-OR,57085785-56,0
51053704-99,51033705-99,1
57050115-PL,53010937-05,0
53000765-OR,53030751-28,1
67010055-PL,57040037-99,0
53020589-28,53050719-28,1
47067109-40,57050294-OR,0
53033776-OR,53020589-99,1
57020012-01,57046024-99,0
57005952-PL,51020771-99,1
53003752-99,57010034-08,0
53053760-51,53055031-99,1
53033776-OR,57050111-PL,0
53060511-08,43047758-05,1
57096020-99,53030636-07,0
53030691-OR,53040519-08,1
41025782-23,57035793-61,0
43005802-OR,43073737-OR,1
57020155-84,57024421-99,0
53050576-01,43090723-OR,1
57044781-TO,53050624-45,0
53020602-15,43030715-OR,1
57096009-OR,53103804-OR,0
43025786-OR,43030693-OR,1
53067683-16,57001030-01,0
43063738-OR,53090511-CU,1
57013778-50,53000762-OR,0
43080721-OR,53050595-OR,1
53060879-99,47055942-OR,0
43033720-52,43033720-15,1
57005928-OR,53091158-OR,0
43090723-OR,53020602-52,1
57014404-06,53030715-OR,0
43063738-OR,53050548-99,1
57002542-OR,57089080-31,0
53020603-17,53080575-20,1
53063712-07,53053763-30,0
43073737-OR,53030636-07,1
57024031-OR,43025786-OR,0
53080809-OR,53050681-OR,1
57001097-99,47085848-TM,0
53020588-99,53103805-OR,1
57010083-70,57085941-32,0
53073772-80,51070902-02,1
53003738-05,57026008-PL,0
53090511-CU,53053763-30,1
57027764-79,53000759-99,0
53193794-OR,53043051-99,1
53091158-OR,57054407-99,0
53060830-OR,53033765-OR,1
53015772-30,53091158-OR,0
53020606-30,53080602-20,1
53003060-PL,43003751-OR,0
53080828-OR,53093739-99,1
57010040-99,57062508-08,0
53033750-32,53020606-92,1
57094014-05,53061093-99,0
53060830-OR,53020606-99,1
57042510-99,57084408-94,0
53033765-OR,53080602-20,1
57004056-OR,53050881-17,0
53020607-07,53043051-99,1
53080599-69,53080716-OR,0
53103804-OR,53023053-16,1
47015845-52,53080586-02,0
53080809-OR,51000639-02,1
53021059-08,47012502-99,0
53083037-05,53020608-07,1
57023725-09,47077845-99,0
53040578-01,53053763-30,1
53087684-32,57036020-DI,0
53020610-12,53030666-26,1
57095796-99,53000674-99,0
53080828-OR,53093739-99,1
57094419-32,57096030-99,0
53033750-32,53020610-30,1
57014036-PL,47095848-99,0
53050616-01,53113782-OR,1
57072509-99,57082525-PL,0
53000676-99,53020610-50,1
53053712-91,53000586-07,0
53093047-99,53033765-OR,1
57004435-CU,57030257-02,0
53020610-99,53090718-57,1
53063042-85,53013749-99,0
